g_x,g_y,g_z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-267.406,-149.928,295.166
-406.471,-200.513,450.926
-424.494,-209.751,475.217
-262.492,-164.12,327.407
-373.256,-211.682,423.19
-592.517,-304.794,647.133
-603,-300.471,696.442
-407.725,-256.184,488.876
-376.787,-270.17,380.855
-594.191,-318.419,628.732
-624.979,-281.095,682.187
-431.11,-241.965,514.839
-281.585,-180.567,288.839
-410.845,-228.083,440.755
-393.17,-184.027,485.3
-293.878,-156.313,354.87
-301.891,-160.674,339.04
-454.873,-233.713,521.509
-468.392,-235.978,532.616
-310.504,-172.304,367.448
-442.385,-235.129,494.413
-679.276,-344.571,749.562
-695.358,-353.401,785.342
-468.499,-259.377,542.523
-449.659,-254.36,483.058
-679.134,-356.459,748.29
-697.219,-343.491,777.421
-477.584,-253.647,548.285
-314.206,-174.54,331.007
-470.097,-244.833,512.093
-463.568,-230.818,533.341
-324.224,-168.787,374.482
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
