g_x,g_y,g_z
-0.115493,0.0836813,-0.493745
-0.276812,0.214873,-0.606093
-0.35625,0.196827,-0.0886872
-0.148626,0.0409954,0.120383
-0.381728,-0.223861,-1.15124
-0.927044,-0.355736,-1.43961
-0.965506,-0.453705,-0.16684
-0.386172,-0.260703,0.273572
-0.416015,-0.846835,-1.226
-1.19025,-1.91379,-1.68673
-1.11164,-1.83599,-0.431071
-0.417206,-0.798693,0.182694
-0.195837,-0.614097,-0.601891
-0.491969,-1.30664,-0.81224
-0.488368,-1.32704,-0.285823
-0.181992,-0.595395,0.0292293
0.0844089,0.20058,-1.09273
0.170931,0.611153,-1.42981
-0.0114205,0.547498,-0.188348
0.00101524,0.0913969,0.247755
0.0224964,-0.419862,-2.80222
-0.15453,-0.444289,-3.60595
-0.260883,-0.819053,-0.0107708
0.000830997,-0.548219,0.67432
-0.00849936,-1.86218,-3.06174
-0.774375,-4.58696,-4.47721
-0.66133,-4.57479,-0.86969
-0.0930771,-1.7329,0.509431
0.00952307,-1.27821,-1.39891
-0.153488,-2.92444,-2.09508
-0.133814,-2.93857,-0.634041
0.0306241,-1.23446,0.0968976
0.499966,0.148626,-1.21444
1.13735,0.55288,-1.75642
1.07375,0.367558,-0.505821
0.40346,0.0370582,0.128823
1.07428,-0.55718,-2.96998
2.95037,-0.579638,-4.62236
2.65577,-1.29241,-1.04989
1.0211,-0.725053,0.527448
1.32812,-1.8246,-3.29218
3.47167,-4.10322,-5.53257
3.48852,-4.09978,-1.39688
1.23153,-1.77644,0.542146
0.581894,-1.23713,-1.47442
1.2356,-2.79215,-2.27774
1.37651,-2.77959,-0.677884
0.617931,-1.21096,0.143562
0.413004,0.010883,-0.621673
0.917665,0.110364,-0.892727
0.918785,0.00213917,-0.388489
0.393544,-0.0464622,-0.0174465
0.937315,-0.363997,-1.38664
2.29499,-0.577759,-2.1109
2.25595,-0.807187,-0.807888
0.898277,-0.435801,0.0466219
1.05338,-0.868029,-1.46995
2.46061,-1.91511,-2.21465
2.49644,-1.91206,-0.884969
0.970108,-0.880379,0.0579658
0.478692,-0.599985,-0.706867
1.05482,-1.28843,-1.02327
1.12209,-1.27575,-0.430701
0.502487,-0.583135,0.00323595
