g_x,g_y,g_z
0.427805,-0.490549,0.315575
0.872527,-1.05364,0.141052
0.863069,-1.01225,-0.526956
0.360563,-0.430404,-0.478336
1.01943,-0.486985,0.790798
2.21445,-1.11404,0.531941
2.02432,-0.988148,-1.11156
0.793536,-0.419993,-1.02027
1.04219,0.282007,0.816694
2.37781,0.784726,0.687479
2.05066,0.757722,-0.914059
0.77087,0.247969,-0.966727
0.467524,0.397548,0.365491
0.983443,0.904857,0.2596
0.89143,0.931186,-0.406135
0.351019,0.365064,-0.429593
0.463606,-1.05132,0.707516
0.919472,-2.50192,0.432405
0.863926,-2.37206,-1.15964
0.316052,-0.910043,-1.00306
1.17718,-1.08111,2.01904
2.82312,-3.2346,1.54399
2.18597,-2.73834,-3.13377
0.605662,-0.963893,-2.39831
1.19533,0.770957,2.12944
3.07271,2.15451,2.03152
2.00291,2.07243,-2.7545
0.54738,0.550358,-2.37982
0.444414,0.906622,0.863084
0.96154,2.23432,0.772493
0.745369,2.17079,-1.02202
0.201167,0.782161,-0.986408
-0.0553079,-0.976895,0.711426
-0.33814,-2.4065,0.564989
-0.585806,-2.21978,-0.938608
-0.230267,-0.880694,-0.930993
-0.191218,-0.873203,1.92606
-1.21431,-3.03847,1.701
-2.00392,-2.48512,-2.62658
-0.786729,-0.853085,-2.36732
-0.55847,0.85666,2.10267
-2.33557,1.98397,1.88023
-2.98783,1.5361,-2.8784
-1.0737,0.494222,-2.51959
-0.258697,0.888037,0.834499
-0.807588,2.12988,0.68259
-1.09129,1.99089,-1.12329
-0.504062,0.73486,-1.07385
-0.252423,-0.396558,0.319452
-0.668911,-0.904904,0.240491
-0.76995,-0.848789,-0.34699
-0.339645,-0.374297,-0.392697
-0.662536,-0.292341,0.772836
-1.93193,-0.835139,0.634083
-2.13845,-0.778245,-0.861658
-0.863956,-0.317423,-0.931046
-0.822118,0.369156,0.793102
-2.24622,0.855742,0.53794
-2.46346,0.705405,-0.968175
-0.972691,0.250246,-0.99465
-0.37887,0.403388,0.343916
-0.956669,0.893552,0.199602
-1.07469,0.822147,-0.460293
-0.485654,0.328257,-0.466616
