g_x,g_y,g_z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-2.21696,-1.62574,0.0871957
-3.81769,-0.870776,0.788658
-4.31771,1.16828,0.433201
-1.17941,1.48583,-3.93652
0.224452,1.57231,-3.45577
-1.30522,0.0838619,-1.17041
-5.58857,-0.661733,0.945592
-12.4021,-1.0061,4.03554
-11.9478,2.09851,8.71379
-0.417189,-0.0115296,2.18467
2.40097,-2.00467,-2.1771
-1.40444,-1.5982,-0.517478
-7.96335,-0.447961,0.334633
-24.2557,-5.03718,3.96232
-23.2446,1.97147,5.06149
-4.92928,-1.61045,11.1006
-2.71724,-9.80448,8.09665
-1.35233,-3.24636,1.99907
-8.13741,-1.86697,-2.72779
-22.3106,-4.91268,-7.44939
-22.1413,-0.645492,-11.8913
-13.1513,-6.99543,10.6351
-8.37662,-5.91074,7.39177
-4.5338,-0.963224,3.63426
-5.31178,-0.806402,-3.77337
-12.4816,0.940605,-6.8089
-12.4056,1.65455,-0.493443
-10.2213,3.14196,10.9491
-7.81358,-1.6652,8.33088
-2.89261,-1.08287,2.75715
-3.48572,-0.241625,-1.3721
-7.20461,-0.195178,-0.29141
-8.16189,1.64974,0.926672
-5.76153,0.659478,2.3673
-2.5983,-0.968124,3.10857
-0.512239,0.059289,1.99317
-1.44835,-0.330896,0.616351
-3.56861,-0.234219,1.97745
-3.64714,-0.100729,0.802388
-0.668062,0.948065,-1.67451
0.497546,0.816461,-1.5131
-0.591519,-0.0144896,-0.285009
-4.55413,-0.526929,2.60924
-10.7337,-2.79289,4.52977
-10.3727,-3.19002,4.15643
-1.12479,-0.557806,1.69334
-0.250894,-1.63397,-0.178468
-1.49034,-0.762061,-0.421839
-8.64015,-0.611188,1.19191
-20.6402,-3.63196,2.99988
-16.8041,-3.33126,2.45167
-2.93139,-1.41121,6.31621
-2.30404,-4.96955,4.04305
-2.61526,-0.0854455,0.829543
-9.92078,-0.419524,-1.01466
-19.5076,-0.881739,-2.88759
-17.4471,-0.838889,-4.42634
-10.3522,-2.23655,4.31092
-5.27173,-3.34377,4.76273
-3.20845,-0.74448,2.32333
-5.38309,-0.0641262,-2.22152
-11.6414,0.930031,-2.69896
-13.6605,1.41836,-0.223643
-10.3009,0.0304355,3.08774
-4.35504,-2.42054,4.47427
-1.32885,-0.697685,2.31033
-2.64591,0.518531,-1.2567
-5.72391,0.238013,-0.601511
-7.72436,-0.174934,0.979509
-5.36009,0.995695,1.18577
-2.01218,0.149127,2.15249
-0.479847,-0.0960262,1.42296
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
