g_x,g_y,g_z
-0.0784968,0.122358,-0.554345
-0.2022,0.280169,-0.711999
-0.252856,0.253496,-0.172441
-0.0977524,0.0593036,0.0824265
-0.327199,-0.128974,-1.19787
-0.807945,-0.235718,-1.58353
-0.790874,-0.328409,-0.387117
-0.295178,-0.232696,0.169936
-0.431651,-0.750989,-1.16139
-1.08374,-1.71435,-1.65425
-0.831882,-1.71253,-0.628833
-0.302846,-0.760483,0.0819221
-0.196132,-0.576829,-0.562021
-0.452524,-1.22751,-0.78145
-0.396609,-1.26357,-0.328006
-0.137276,-0.558393,-0.00965516
0.184879,0.260451,-1.19933
0.363632,0.719612,-1.63941
0.271102,0.585901,-0.340308
0.115093,0.104246,0.185965
0.121986,-0.246856,-2.87278
0.092782,-0.160487,-3.94329
0.146678,-0.597504,-0.522983
0.167018,-0.489114,0.526509
-0.111037,-1.7258,-2.91994
-0.782059,-4.14617,-4.14649
-0.0672516,-4.2078,-1.22788
0.121964,-1.59408,0.340689
0.0109448,-1.23602,-1.31751
-0.154766,-2.77378,-1.94833
-0.0851899,-2.75249,-0.66304
0.0836973,-1.14357,0.0369163
0.609694,0.134839,-1.27078
1.38569,0.520238,-1.86466
1.41763,0.370787,-0.555453
0.535158,0.0579027,0.116665
1.2319,-0.628587,-3.01529
3.35807,-0.716919,-4.89306
3.30793,-1.06996,-1.17729
1.22531,-0.607626,0.46583
1.38235,-1.82811,-3.22493
3.43828,-3.86251,-5.38809
3.4719,-3.7432,-1.71504
1.3645,-1.53414,0.348683
0.577612,-1.20229,-1.41077
1.18701,-2.64059,-2.2017
1.30636,-2.60329,-0.778515
0.622186,-1.10633,0.0612812
0.466667,-0.0240962,-0.63972
1.0213,0.0427806,-0.930124
1.03067,-0.000737934,-0.411483
0.448967,-0.0254842,-0.0163873
1.01735,-0.416692,-1.42612
2.43658,-0.661119,-2.16285
2.4169,-0.733125,-0.885224
0.975715,-0.362434,0.0244471
1.09964,-0.883145,-1.45649
2.52555,-1.85293,-2.21631
2.49539,-1.69938,-0.985847
1.00074,-0.766895,-0.00228042
0.493662,-0.592098,-0.683901
1.06353,-1.23317,-1.00971
1.09862,-1.16839,-0.476244
0.494444,-0.519459,-0.03974
