#pos_x,#pos_y,#pos_z,#vel_x,#vel_y,#vel_z,#potential,#weight,#mass,#charge,#species,#cell_id
0.027824,0.263221,0.0961674,-141.466,235.477,-48.0397,0,5e+08,6.63e-26,1.60218e-19,40Ar+,35
-0.0452626,0.101182,-0.122322,-268.576,-149.387,311.548,0,5e+08,6.63e-26,1.60218e-19,40Ar+,22
-0.350786,-0.435026,-0.462852,-119.616,212.962,-208.525,0,5e+08,6.63e-26,1.60218e-19,40Ar+,13
-0.0233741,-0.121776,-0.0415581,-68.8461,-68.8256,327.563,0,5e+08,6.63e-26,1.60218e-19,40Ar+,26
-0.213423,0.383694,-0.0936873,40.8829,-51.6203,-74.2906,0,5e+08,6.63e-26,1.60218e-19,40Ar+,18
-0.134096,0.156005,0.373104,-185.974,315.932,55.2991,0,5e+08,6.63e-26,1.60218e-19,40Ar+,24
-0.123927,-0.013058,0.00481145,-238.599,23.2909,556.469,0,5e+08,6.63e-26,1.60218e-19,40Ar+,26
-0.170579,-0.115279,0.22755,293.555,-43.3904,335.998,0,5e+08,6.63e-26,1.60218e-19,40Ar+,27
0.394714,0.440967,-0.277571,-126.711,-353.517,43.2501,0,5e+08,6.63e-26,1.60218e-19,40Ar+,49
-0.00293902,-0.243343,-0.339365,-166.982,188.358,-155.019,0,5e+08,6.63e-26,1.60218e-19,40Ar+,41
-0.330471,0.39179,0.238244,-361.209,97.4577,117.095,0,5e+08,6.63e-26,1.60218e-19,40Ar+,3
0.159223,-0.328778,-0.283542,-197.432,133.608,-71.0619,0,5e+08,6.63e-26,1.60218e-19,40Ar+,45
0.357355,0.0469436,0.42207,-74.4268,-169.345,115.834,0,5e+08,6.63e-26,1.60218e-19,40Ar+,56
-0.482931,-0.102737,0.0978226,461.639,-490.845,-274.084,0,5e+08,6.63e-26,1.60218e-19,40Ar+,11
-0.371186,0.311662,-0.374938,155.582,-181.29,-104.434,0,5e+08,6.63e-26,1.60218e-19,40Ar+,1
0.38291,0.0505551,-0.355101,311.941,-347.789,-197.358,0,5e+08,6.63e-26,1.60218e-19,40Ar+,53
0.391346,0.26522,-0.153665,52.0662,22.8722,133.862,0,5e+08,6.63e-26,1.60218e-19,40Ar+,50
-0.00092475,0.453281,0.0658267,-310.091,-230.31,-235.863,0,5e+08,6.63e-26,1.60218e-19,40Ar+,35
-0.231303,0.380551,-0.219029,-315.09,74.8107,208.89,0,5e+08,6.63e-26,1.60218e-19,40Ar+,18
0.318589,0.0737086,0.290182,29.1722,210.457,-354.917,0,5e+08,6.63e-26,1.60218e-19,40Ar+,56
0.460163,-0.418874,-0.421789,39.622,100.636,206.996,0,5e+08,6.63e-26,1.60218e-19,40Ar+,61
-0.101802,0.263807,-0.414709,-80.0582,210.303,-214.325,0,5e+08,6.63e-26,1.60218e-19,40Ar+,17
-0.268259,0.345526,-0.420108,41.9517,140.805,400.677,0,5e+08,6.63e-26,1.60218e-19,40Ar+,1
0.229276,-0.331783,-0.20522,-163.26,-98.0999,660.402,0,5e+08,6.63e-26,1.60218e-19,40Ar+,46
0.0358253,-0.437911,-0.241739,82.0024,-412.084,-306.243,0,5e+08,6.63e-26,1.60218e-19,40Ar+,46
-0.44743,0.48146,-0.163821,299.281,143.878,-114.447,0,5e+08,6.63e-26,1.60218e-19,40Ar+,2
0.407971,0.112528,-0.316655,-270.579,8.08519,-298.076,0,5e+08,6.63e-26,1.60218e-19,40Ar+,53
0.382931,0.0160721,-0.309722,181.55,376.017,208.007,0,5e+08,6.63e-26,1.60218e-19,40Ar+,53
0.245579,0.259398,0.444205,494.267,-620.582,66.3128,0,5e+08,6.63e-26,1.60218e-19,40Ar+,36
-0.313924,-0.203422,0.101903,82.0736,-143.853,106.025,0,5e+08,6.63e-26,1.60218e-19,40Ar+,11
0.0789808,0.488553,-0.00450917,446.19,-120.84,-198.877,0,5e+08,6.63e-26,1.60218e-19,40Ar+,34
0.31654,0.448317,-0.4686,-124.909,54.2506,-10.1995,0,5e+08,6.63e-26,1.60218e-19,40Ar+,49
-0.228887,0.266295,-0.0365545,-287.552,-560.869,-205.809,0,5e+08,6.63e-26,1.60218e-19,40Ar+,18
-0.216166,0.317886,0.193589,243.361,-108.783,131.861,0,5e+08,6.63e-26,1.60218e-19,40Ar+,19
-0.231696,0.409044,0.101829,-78.4749,-214.385,-399.857,0,5e+08,6.63e-26,1.60218e-19,40Ar+,19
-0.364077,0.347234,-0.201137,156.555,241.504,56.5459,0,5e+08,6.63e-26,1.60218e-19,40Ar+,2
