g_x,g_y,g_z
-0.0220325,-0.128306,0.0873859
-0.032303,-0.201479,0.15022
-0.0171829,-0.258278,0.230992
-0.0039092,-0.206978,0.196219
-0.0618128,-0.140818,0.0545456
-0.0938335,-0.214897,0.0974564
-0.0647398,-0.312664,0.241568
-0.0303563,-0.263692,0.228671
-0.114778,-0.0847639,-0.0357572
-0.200809,-0.114409,-0.0619135
-0.133895,-0.225498,0.122992
-0.0695811,-0.213647,0.156484
-0.0945287,-0.0574124,-0.0676661
-0.155681,-0.0921863,-0.106308
-0.113129,-0.153956,0.0235694
-0.0620166,-0.140371,0.0683504
0.00508536,-0.136324,0.11223
0.000673277,-0.20867,0.181563
0.0265881,-0.305575,0.322028
0.0306739,-0.260503,0.281146
-0.0373458,-0.117591,0.0406008
-0.0759643,-0.140003,0.0177179
-0.0191256,-0.333959,0.310452
0.00906929,-0.315391,0.317699
-0.142239,-0.0224411,-0.118654
-0.442119,0.0388051,-0.379059
-0.157716,-0.151904,0.111474
-0.059412,-0.228315,0.2002
-0.116814,-0.0238619,-0.148091
-0.269299,-0.0284099,-0.333594
-0.131298,-0.136838,-0.0194069
-0.0600427,-0.155565,0.0777732
0.0887137,-0.0706773,0.123027
0.148991,-0.0904372,0.199641
0.142389,-0.222442,0.337731
0.0985525,-0.210111,0.290049
0.111926,-0.00168232,0.057987
0.23107,0.100957,0.0351894
0.181206,-0.185081,0.337278
0.122651,-0.230849,0.332047
0.0752049,0.1572,-0.0806965
0.231234,0.662736,-0.223111
0.132772,0.0440391,0.151044
0.08647,-0.120083,0.22208
0.0109042,0.0553958,-0.142984
0.0480315,0.0998704,-0.333736
0.0418218,-0.0427203,-0.00733222
0.0324238,-0.0986168,0.0864221
0.0872039,-0.043661,0.101943
0.135816,-0.0709756,0.172446
0.135363,-0.143337,0.251377
0.0931438,-0.133987,0.20916
0.113857,-0.0051264,0.0775994
0.183915,0.000302406,0.132336
0.178066,-0.130011,0.273706
0.122191,-0.149371,0.248865
0.0875695,0.0735095,-0.00561313
0.145715,0.164056,-0.00538066
0.142039,-0.0204307,0.161836
0.0987085,-0.0883433,0.179987
0.0399745,0.0377311,-0.0526393
0.0655555,0.0557185,-0.0832358
0.0712766,-0.0275893,0.0448614
0.0516892,-0.0609843,0.0820473
