#pos_x,#pos_y,#pos_z,#vel_x,#vel_y,#vel_z,#potential,#weight,#mass,#charge_number,#species,#cell_id
0.216703,0.36897,0.219657,-129.701,-104.494,-6.81991,0,1e+09,1e-26,-1.60218e-19,e-,35
-0.486164,0.3954,-0.422946,172.425,241.815,224.764,0,1e+09,1e-26,-1.60218e-19,e-,1
-0.335305,-0.218643,0.209491,1118.16,-1259.15,104.479,0,1e+09,1e-26,-1.60218e-19,e-,11
-0.361433,-0.498405,0.444023,-393.615,-209.542,-356.898,0,1e+09,1e-26,-1.60218e-19,e-,16
-0.285933,-0.0448173,0.463537,1233.9,-986.292,-272.777,0,1e+09,1e-26,-1.60218e-19,e-,12
-0.303645,-0.280792,-0.161327,1027.41,-1508.69,187.982,0,1e+09,1e-26,-1.60218e-19,e-,14
0.433763,-0.240844,0.145465,-178.386,-57.8463,-14.3551,0,1e+09,1e-26,-1.60218e-19,e-,59
0.336339,0.489567,0.071543,40.5694,-24.2468,42.9798,0,1e+09,1e-26,-1.60218e-19,e-,51
-0.495996,-0.175206,0.353611,-1598.93,1101.99,1212.8,0,1e+09,1e-26,-1.60218e-19,e-,12
0.262086,0.0676284,-0.265893,-75.012,22.2416,75.1354,0,1e+09,1e-26,-1.60218e-19,e-,53
-0.410142,-0.469204,0.457906,-445.613,-393.015,-426.164,0,1e+09,1e-26,-1.60218e-19,e-,16
0.343002,0.372636,0.419613,-118.426,-39.463,29.2864,0,1e+09,1e-26,-1.60218e-19,e-,52
-0.298536,0.496467,-0.463499,1143.7,-773.261,-34.3353,0,1e+09,1e-26,-1.60218e-19,e-,1
-0.436553,-0.24314,0.371999,1177.65,1176.79,743.968,0,1e+09,1e-26,-1.60218e-19,e-,16
-0.493592,-0.218457,0.35195,-1426.97,1366.2,903.273,0,1e+09,1e-26,-1.60218e-19,e-,12
0.433431,0.268908,-0.494958,106.225,3.40777,-53.6002,0,1e+09,1e-26,-1.60218e-19,e-,49
-0.309257,-0.300972,0.479323,1162.66,-986.503,-556.071,0,1e+09,1e-26,-1.60218e-19,e-,16
0.392564,0.00376928,-0.0939708,34.5243,5.96788,69.3074,0,1e+09,1e-26,-1.60218e-19,e-,54
