#pos_x,#pos_y,#pos_z,#vel_x,#vel_y,#vel_z,#potential,#weight,#mass,#charge_number,#species,#cell_id
0.268752,0.405594,0.215503,-84.007,-55.8332,11.0648,0,1e+09,1e-26,-1.60218e-19,e-,51
-0.448247,0.28961,-0.44526,19.6017,89.915,-109.65,0,1e+09,1e-26,-1.60218e-19,e-,1
-0.162459,0.229284,0.198637,-138.876,-31.7173,-13.0882,0,1e+09,1e-26,-1.60218e-19,e-,23
-0.216708,-0.433268,0.3856,14.6831,81.8562,117.864,0,1e+09,1e-26,-1.60218e-19,e-,32
-0.143853,0.29489,0.409058,22.4781,-31.9505,-82.4731,0,1e+09,1e-26,-1.60218e-19,e-,20
-0.188484,0.172061,-0.148654,-65.3321,28.1063,74.4208,0,1e+09,1e-26,-1.60218e-19,e-,22
0.466341,-0.20845,0.153504,178.386,-57.8463,-14.3551,0,1e+09,1e-26,-1.60218e-19,e-,59
0.31362,0.496855,0.0474743,40.5694,24.2468,42.9798,0,1e+09,1e-26,-1.60218e-19,e-,51
0.0362274,-0.225903,-0.0478467,-62.2468,-102.113,0.825886,0,1e+09,1e-26,-1.60218e-19,e-,42
0.304093,0.0551731,-0.307969,-75.012,22.2416,75.1354,0,1e+09,1e-26,-1.60218e-19,e-,53
-0.281391,-0.325707,0.361106,190.492,30.4184,91.8346,0,1e+09,1e-26,-1.60218e-19,e-,16
0.409321,0.394736,0.403213,-118.426,-39.463,29.2864,0,1e+09,1e-26,-1.60218e-19,e-,52
-0.156159,0.264195,-0.479304,-272.051,-59.2547,42.1288,0,1e+09,1e-26,-1.60218e-19,e-,17
-0.11169,-0.226371,0.114942,-50.4149,-109.332,-27.1142,0,1e+09,1e-26,-1.60218e-19,e-,27
-0.0101335,-0.164086,0.0683741,6.73748,-67.772,-10.4109,0,1e+09,1e-26,-1.60218e-19,e-,27
0.373945,0.267,-0.464942,106.225,3.40777,-53.6002,0,1e+09,1e-26,-1.60218e-19,e-,49
-0.178307,0.079531,0.303901,-15.8282,14.372,58.6152,0,1e+09,1e-26,-1.60218e-19,e-,24
0.37323,0.000427274,-0.132783,34.5243,5.96788,69.3074,0,1e+09,1e-26,-1.60218e-19,e-,54
-0.295157,-0.267638,-0.257771,-239.859,-280.157,89.6469,0,1e+09,1e-26,-1.60218e-19,e-,13
0.354016,-0.25951,0.0384109,37.6059,155.93,62.049,0,1e+09,1e-26,-1.60218e-19,e-,63
-0.127126,-0.280924,-0.250002,-233.694,-119.452,30.1572,0,1e+09,1e-26,-1.60218e-19,e-,29
-0.334875,0.371969,0.296722,-30.1006,134.649,-56.372,0,1e+09,1e-26,-1.60218e-19,e-,4
0.466463,0.0470137,0.0126225,37.6941,13.918,-35.6925,0,1e+09,1e-26,-1.60218e-19,e-,55
-0.47236,0.153813,-0.155043,-248.331,-134.768,27.9142,0,1e+09,1e-26,-1.60218e-19,e-,6
-0.239711,0.322649,0.328113,-156.629,-116.803,85.3294,0,1e+09,1e-26,-1.60218e-19,e-,20
0.043682,0.105087,0.429075,-67.0225,-18.5763,-46.5729,0,1e+09,1e-26,-1.60218e-19,e-,40
-0.49485,0.422178,0.435032,100.495,131.541,42.6872,0,1e+09,1e-26,-1.60218e-19,e-,4
-0.0763406,0.461393,0.119356,-17.3265,-150.394,-126.89,0,1e+09,1e-26,-1.60218e-19,e-,19
-0.187724,0.0528956,-0.323102,-70.8638,-176.203,69.474,0,1e+09,1e-26,-1.60218e-19,e-,21
-0.25822,-0.20315,-0.100838,-94.3888,-147.353,75.878,0,1e+09,1e-26,-1.60218e-19,e-,10
-0.175014,0.103669,-0.364958,-88.732,16.5352,14.3875,0,1e+09,1e-26,-1.60218e-19,e-,21
0.0532638,-0.342914,-0.11821,56.5348,-166.47,10.8303,0,1e+09,1e-26,-1.60218e-19,e-,46
0.0800527,-0.228281,-0.13466,-92.4419,-234.795,-14.9937,0,1e+09,1e-26,-1.60218e-19,e-,42
-0.0108937,-0.476113,0.465709,-63.8835,138.039,6.64918,0,1e+09,1e-26,-1.60218e-19,e-,32
0.260769,0.0833145,0.127229,-6.65527,63.711,15.3258,0,1e+09,1e-26,-1.60218e-19,e-,55
0.43698,-0.332575,-0.0245323,15.2988,86.1455,-29.1624,0,1e+09,1e-26,-1.60218e-19,e-,62
-0.385137,0.0518677,0.262485,-84.0239,-130.641,92.5394,0,1e+09,1e-26,-1.60218e-19,e-,8
-0.452671,0.357749,0.0752334,-37.3008,18.4838,-74.9478,0,1e+09,1e-26,-1.60218e-19,e-,3
-0.380058,-0.0853509,-0.231845,-26.8654,-150.25,147.615,0,1e+09,1e-26,-1.60218e-19,e-,10
0.439295,0.386271,-0.105361,-86.8757,73.4399,42.6889,0,1e+09,1e-26,-1.60218e-19,e-,50
-0.376216,0.333309,0.0481984,31.4157,-23.5836,-2.54325,0,1e+09,1e-26,-1.60218e-19,e-,3
0.111231,0.397553,0.0453705,150.924,-58.9783,-27.594,0,1e+09,1e-26,-1.60218e-19,e-,35
0.40142,-0.0373371,-0.204486,-68.3241,156.447,-62.8197,0,1e+09,1e-26,-1.60218e-19,e-,58
0.280636,0.0948828,-0.319183,61.6568,-15.5512,-127.046,0,1e+09,1e-26,-1.60218e-19,e-,53
-0.394877,0.29027,0.320825,7.84556,-49.9773,-124.551,0,1e+09,1e-26,-1.60218e-19,e-,4
0.450563,0.251719,-0.308882,46.3386,-3.22775,59.1792,0,1e+09,1e-26,-1.60218e-19,e-,49
0.125033,-0.0693653,-0.256254,-150.999,-98.447,5.70619,0,1e+09,1e-26,-1.60218e-19,e-,41
0.290244,-0.138177,0.087303,117.49,-76.4124,-16.6759,0,1e+09,1e-26,-1.60218e-19,e-,59
-0.361607,0.192841,-0.0206891,-129.845,108.942,-77.4185,0,1e+09,1e-26,-1.60218e-19,e-,6
0.229808,0.435146,-0.32123,-61.2688,-88.0563,-2.31945,0,1e+09,1e-26,-1.60218e-19,e-,33
0.382761,0.428868,-0.402394,-70.5919,-79.3506,-21.3066,0,1e+09,1e-26,-1.60218e-19,e-,49
-0.276954,0.327181,-0.0310355,-43.428,-151.818,57.5909,0,1e+09,1e-26,-1.60218e-19,e-,2
-0.360482,-0.498942,-0.162063,37.7085,-88.5752,31.8851,0,1e+09,1e-26,-1.60218e-19,e-,14
-0.26832,0.358177,-0.212393,-6.85593,70.7526,-90.0998,0,1e+09,1e-26,-1.60218e-19,e-,2
0.245217,-0.225891,-0.288066,-29.9865,35.0484,-25.1548,0,1e+09,1e-26,-1.60218e-19,e-,41
-0.43558,0.104112,-0.355848,-33.1058,-33.5836,92.587,0,1e+09,1e-26,-1.60218e-19,e-,5
-0.156363,0.226575,0.272581,-121.788,-150.031,-52.6288,0,1e+09,1e-26,-1.60218e-19,e-,24
0.324029,-0.309561,-0.475573,21.7513,161.786,32.8737,0,1e+09,1e-26,-1.60218e-19,e-,61
-0.479646,-0.451236,-0.0896297,85.8415,111.302,12.0565,0,1e+09,1e-26,-1.60218e-19,e-,14
-0.172654,0.0889696,0.467942,-61.0126,-88.9798,58.6073,0,1e+09,1e-26,-1.60218e-19,e-,24
0.0702118,-0.270097,-0.251331,-0.633174,-75.4139,119.953,0,1e+09,1e-26,-1.60218e-19,e-,45
0.319093,0.255552,0.0876399,29.114,-16.2047,62.4376,0,1e+09,1e-26,-1.60218e-19,e-,51
-0.0265979,0.4421,-0.453472,-82.1181,85.4174,-127.88,0,1e+09,1e-26,-1.60218e-19,e-,17
-0.0871703,-0.21705,0.113341,-119.458,63.5446,98.1196,0,1e+09,1e-26,-1.60218e-19,e-,27
0.126261,-0.348348,0.39122,-68.1053,-21.777,-16.5814,0,1e+09,1e-26,-1.60218e-19,e-,48
-0.334458,0.17161,-0.342448,35.9067,140.15,-37.7614,0,1e+09,1e-26,-1.60218e-19,e-,5
-0.277153,0.280613,-0.267568,13.9264,15.6836,-23.442,0,1e+09,1e-26,-1.60218e-19,e-,1
-0.313603,0.314372,0.217651,-44.1743,62.6478,-88.6479,0,1e+09,1e-26,-1.60218e-19,e-,3
-0.406384,0.4978,0.143403,-76.1219,-21.7018,35.0858,0,1e+09,1e-26,-1.60218e-19,e-,3
0.154751,-0.391275,0.1844,-37.5441,-90.6325,60.79,0,1e+09,1e-26,-1.60218e-19,e-,47
-0.121177,-0.439126,0.140075,7.00938,-113.439,17.1229,0,1e+09,1e-26,-1.60218e-19,e-,31
0.444632,-0.0428123,0.219136,-81.5817,-152.127,-4.33302,0,1e+09,1e-26,-1.60218e-19,e-,59
-0.296751,0.411337,-0.4641,28.6752,-92.4374,-19.4546,0,1e+09,1e-26,-1.60218e-19,e-,1
0.299826,0.103726,-0.0114672,-115.749,14.3389,194.161,0,1e+09,1e-26,-1.60218e-19,e-,54
-0.442875,0.282366,-0.0256886,-106.493,-38.3059,169.694,0,1e+09,1e-26,-1.60218e-19,e-,2
-0.18638,0.239316,-0.172429,64.348,-57.855,1.06551,0,1e+09,1e-26,-1.60218e-19,e-,22
-0.0175012,-0.106898,-0.100563,-129.234,-177.36,37.1056,0,1e+09,1e-26,-1.60218e-19,e-,26
-0.157372,0.0413982,-0.288526,-99.3705,-277.947,-128.312,0,1e+09,1e-26,-1.60218e-19,e-,21
-0.13754,0.192578,0.27023,5.8372,-105.458,76.2547,0,1e+09,1e-26,-1.60218e-19,e-,24
0.134609,-0.0739483,-0.215266,-159.666,108.544,-72.5943,0,1e+09,1e-26,-1.60218e-19,e-,42
0.491105,0.371878,-0.353495,51.0229,32.4761,-96.8011,0,1e+09,1e-26,-1.60218e-19,e-,49
-0.365151,0.495857,-0.39523,2.62958,1.61424,18.2553,0,1e+09,1e-26,-1.60218e-19,e-,1
-0.429076,0.463411,0.206966,14.8063,141.433,92.6503,0,1e+09,1e-26,-1.60218e-19,e-,3
-0.204529,0.407,0.498181,-47.7855,53.8183,73.2445,0,1e+09,1e-26,-1.60218e-19,e-,20
-0.298409,-0.385536,-0.374528,-102.558,-155.283,129.106,0,1e+09,1e-26,-1.60218e-19,e-,13
-0.240383,-0.431735,-0.103262,-34.9162,-133.19,43.5585,0,1e+09,1e-26,-1.60218e-19,e-,30
-0.170056,0.245289,0.154119,-201.328,18.6611,-135.843,0,1e+09,1e-26,-1.60218e-19,e-,23
0.389835,0.26796,-0.429626,42.4667,58.8119,-99.5838,0,1e+09,1e-26,-1.60218e-19,e-,49
-0.202775,0.0641222,-0.167946,-226.106,-146.667,46.9332,0,1e+09,1e-26,-1.60218e-19,e-,22
0.1241,0.475796,-0.185962,23.0035,-17.2013,-39.0373,0,1e+09,1e-26,-1.60218e-19,e-,34
0.361248,0.0918473,-0.364794,28.3614,-30.6066,-74.3059,0,1e+09,1e-26,-1.60218e-19,e-,53
0.142013,-0.0539685,-0.40222,60.068,-46.0033,124.971,0,1e+09,1e-26,-1.60218e-19,e-,41
-0.430326,0.288729,0.3916,-42.7273,18.7944,-36.9455,0,1e+09,1e-26,-1.60218e-19,e-,4
0.00395243,-0.47649,0.292553,-83.2438,-55.5242,144.861,0,1e+09,1e-26,-1.60218e-19,e-,48
-0.174226,0.179322,0.260845,-129.685,-5.0655,114.575,0,1e+09,1e-26,-1.60218e-19,e-,24
0.332294,-0.463418,-0.220886,44.4581,26.8891,97.9589,0,1e+09,1e-26,-1.60218e-19,e-,62
-0.476251,-0.477264,-0.422265,-17.9089,39.7516,-148.063,0,1e+09,1e-26,-1.60218e-19,e-,13
0.431158,-0.42207,-0.132859,-39.2464,100.797,-84.974,0,1e+09,1e-26,-1.60218e-19,e-,62
-0.461902,0.0271345,-0.0113375,85.9486,40.8836,-49.22,0,1e+09,1e-26,-1.60218e-19,e-,6
-0.04322,-0.124266,-0.0776688,-106.33,-191.024,20.1957,0,1e+09,1e-26,-1.60218e-19,e-,26
0.360087,-0.451118,-0.232606,46.5389,-143.084,118.179,0,1e+09,1e-26,-1.60218e-19,e-,62
0.133576,0.353221,-0.196025,153.131,-81.849,-132.546,0,1e+09,1e-26,-1.60218e-19,e-,34
-0.276556,-0.478223,-0.432758,-136.112,-63.9565,24.8326,0,1e+09,1e-26,-1.60218e-19,e-,13
-0.359234,0.0137466,-0.253414,-57.2054,-26.4333,-37.5008,0,1e+09,1e-26,-1.60218e-19,e-,5
0.379896,-0.336245,0.284228,85.5494,-147.162,-25.4732,0,1e+09,1e-26,-1.60218e-19,e-,64
0.0951748,0.110959,-0.17931,-88.2633,-31.9004,9.99355,0,1e+09,1e-26,-1.60218e-19,e-,38
-0.202413,-0.4359,-0.048529,-96.353,-120.121,49.0608,0,1e+09,1e-26,-1.60218e-19,e-,30
0.0764954,-0.226398,-0.2953,-55.5255,-61.9652,68.8604,0,1e+09,1e-26,-1.60218e-19,e-,41
0.1327,0.318103,-0.364233,-28.6742,-71.8217,-69.1288,0,1e+09,1e-26,-1.60218e-19,e-,33
-0.0321648,0.00509052,0.376512,-79.2883,-56.1351,106.219,0,1e+09,1e-26,-1.60218e-19,e-,24
0.199641,0.0712452,-0.368823,-61.4006,35.3035,40.0676,0,1e+09,1e-26,-1.60218e-19,e-,37
-0.395306,-0.0913216,0.461152,-21.7362,37.056,-37.0006,0,1e+09,1e-26,-1.60218e-19,e-,12
-0.415748,0.0137289,-0.380704,-278.59,-98.3617,-113.257,0,1e+09,1e-26,-1.60218e-19,e-,5
0.0613481,-0.29171,0.245947,-27.409,-6.24121,90.3047,0,1e+09,1e-26,-1.60218e-19,e-,47
-0.124848,0.393334,0.0969508,-37.6118,-19.2805,32.3995,0,1e+09,1e-26,-1.60218e-19,e-,19
-0.477338,0.355557,-0.212244,56.578,60.856,-99.3724,0,1e+09,1e-26,-1.60218e-19,e-,2
0.279381,0.0125748,-0.462237,61.9081,-40.7181,43.2924,0,1e+09,1e-26,-1.60218e-19,e-,53
0.323207,0.0722031,-0.0406729,102.313,35.7086,88.5133,0,1e+09,1e-26,-1.60218e-19,e-,54
0.406321,0.380224,-0.0657288,61.8383,39.5876,-67.6983,0,1e+09,1e-26,-1.60218e-19,e-,50
0.454785,0.264926,-0.00275888,-71.244,84.6566,-84.5278,0,1e+09,1e-26,-1.60218e-19,e-,50
0.0399143,0.486466,-0.222961,58.7323,15.2234,-53.7016,0,1e+09,1e-26,-1.60218e-19,e-,34
0.420623,-0.266309,-0.338465,20.0639,23.5216,-1.20606,0,1e+09,1e-26,-1.60218e-19,e-,61
0.0459293,0.392051,-0.154769,9.5409,7.81723,-62.77,0,1e+09,1e-26,-1.60218e-19,e-,34
-0.24135,0.203426,0.494388,-79.4703,-36.0721,-84.4685,0,1e+09,1e-26,-1.60218e-19,e-,24
-0.193293,0.403929,-0.0136664,125.241,-164.809,-194.93,0,1e+09,1e-26,-1.60218e-19,e-,18
0.44915,0.214664,0.19835,89.0881,52.6965,-106.19,0,1e+09,1e-26,-1.60218e-19,e-,55
-0.0710005,-0.0515965,0.326366,18.1808,-147.701,115.801,0,1e+09,1e-26,-1.60218e-19,e-,28
0.0112285,-0.458178,0.0735198,-103.979,-171.975,-206.668,0,1e+09,1e-26,-1.60218e-19,e-,47
-0.409677,0.295025,-0.00785386,-62.7585,-78.1634,-97.0846,0,1e+09,1e-26,-1.60218e-19,e-,2
0.0305551,-0.179534,-0.182705,-185.766,-130.495,210.673,0,1e+09,1e-26,-1.60218e-19,e-,42
-0.247762,-0.262933,-0.0351009,32.18,-35.9377,107.79,0,1e+09,1e-26,-1.60218e-19,e-,30
0.475662,-0.49517,-0.369563,-151.755,-51.7313,45.8337,0,1e+09,1e-26,-1.60218e-19,e-,61
0.34302,0.038409,0.481154,-68.6867,68.9299,37.7746,0,1e+09,1e-26,-1.60218e-19,e-,56
-0.322511,0.359475,-0.239103,-27.2494,-83.101,-2.4979,0,1e+09,1e-26,-1.60218e-19,e-,2
-0.275273,0.283057,-0.078918,80.4241,-32.2978,-31.7458,0,1e+09,1e-26,-1.60218e-19,e-,2
-0.42352,0.398284,-0.0476425,-22.8678,-7.89046,32.9501,0,1e+09,1e-26,-1.60218e-19,e-,2
0.352858,0.0453089,0.230382,102.597,-128.064,-53.7105,0,1e+09,1e-26,-1.60218e-19,e-,55
0.369935,0.230983,-0.414576,-25.4125,89.6791,-94.0671,0,1e+09,1e-26,-1.60218e-19,e-,53
0.200993,0.410859,-0.360896,-15.7912,-39.1018,54.1302,0,1e+09,1e-26,-1.60218e-19,e-,33
-0.433347,0.20377,0.439361,-55.3948,-102.479,1.20492,0,1e+09,1e-26,-1.60218e-19,e-,8
-0.459773,0.379333,-0.123746,22.0146,-21.5843,-50.8328,0,1e+09,1e-26,-1.60218e-19,e-,2
-0.471124,0.0352585,0.373603,-29.0972,16.9893,-119.763,0,1e+09,1e-26,-1.60218e-19,e-,8
0.0970668,-0.219487,-0.395732,32.6487,-45.3762,176.326,0,1e+09,1e-26,-1.60218e-19,e-,41
0.469162,0.396171,0.157803,40.3086,60.5614,64.3749,0,1e+09,1e-26,-1.60218e-19,e-,51
-0.0629464,0.47429,-0.342754,3.10682,111.753,-49.8226,0,1e+09,1e-26,-1.60218e-19,e-,17
0.432766,-0.495968,0.316656,-82.1998,-36.7314,24.038,0,1e+09,1e-26,-1.60218e-19,e-,64
0.3072,0.123669,0.0641399,-85.6246,48.9737,50.8386,0,1e+09,1e-26,-1.60218e-19,e-,55
-0.205804,0.270346,0.0431854,-2.38628,-17.5235,-136.331,0,1e+09,1e-26,-1.60218e-19,e-,19
-0.163454,-0.378952,0.0814939,-201.162,-125.002,-5.05482,0,1e+09,1e-26,-1.60218e-19,e-,31
0.465854,0.0513104,-0.224196,46.3119,101.823,-81.45,0,1e+09,1e-26,-1.60218e-19,e-,54
-0.0287583,-0.283225,0.328037,49.9911,-44.2375,-5.35954,0,1e+09,1e-26,-1.60218e-19,e-,32
0.0599467,0.407477,-0.37053,-119.052,102.232,-124.392,0,1e+09,1e-26,-1.60218e-19,e-,33
-0.0699697,-0.0485547,0.345199,-95.1869,-146.511,135.132,0,1e+09,1e-26,-1.60218e-19,e-,28
0.0936576,0.162223,0.227075,4.7935,5.8399,-87.8944,0,1e+09,1e-26,-1.60218e-19,e-,39
-0.353217,0.125945,-0.290933,-103.675,4.3177,87.1916,0,1e+09,1e-26,-1.60218e-19,e-,5
-0.188641,-0.23676,-0.422587,-319.507,-191.269,52.327,0,1e+09,1e-26,-1.60218e-19,e-,25
-0.259645,0.139149,-0.286199,-173.358,-91.7386,-77.4299,0,1e+09,1e-26,-1.60218e-19,e-,5
0.133759,-0.474192,-0.218698,-124.198,24.4761,-41.8915,0,1e+09,1e-26,-1.60218e-19,e-,46
