#pos_x,#pos_y,#pos_z,#vel_x,#vel_y,#vel_z,#potential,#weight,#mass,#charge_number,#species,#cell_id
0.256991,0.397778,0.217052,-84.007,-55.8332,11.0648,0,1e+09,1e-26,-1.60218e-19,e-,51
-0.452178,0.306334,-0.469156,-68.0506,145.902,-223.361,0,1e+09,1e-26,-1.60218e-19,e-,1
-0.214791,0.192306,0.195892,-580.726,-468.648,-22.1054,0,1e+09,1e-26,-1.60218e-19,e-,23
-0.227933,-0.431842,0.411566,-159.251,-48.683,241.293,0,1e+09,1e-26,-1.60218e-19,e-,32
-0.188885,0.265965,0.41018,-619.207,-360.428,88.5923,0,1e+09,1e-26,-1.60218e-19,e-,20
-0.235385,0.143924,-0.150299,-574.234,-408.964,-77.1749,0,1e+09,1e-26,-1.60218e-19,e-,22
0.491315,-0.216549,0.151494,178.386,-57.8463,-14.3551,0,1e+09,1e-26,-1.60218e-19,e-,59
0.3193,0.49975,0.0534915,40.5694,-24.2468,42.9798,0,1e+09,1e-26,-1.60218e-19,e-,51
-0.00580477,-0.294111,-0.0229849,-512.437,-830.217,341.853,0,1e+09,1e-26,-1.60218e-19,e-,46
0.293591,0.0582869,-0.29745,-75.012,22.2416,75.1354,0,1e+09,1e-26,-1.60218e-19,e-,53
-0.274154,-0.335196,0.384397,-67.2233,-150.994,230.748,0,1e+09,1e-26,-1.60218e-19,e-,16
0.392741,0.389211,0.407313,-118.426,-39.463,29.2864,0,1e+09,1e-26,-1.60218e-19,e-,52
-0.230865,0.2776,-0.488714,-758.896,236.154,340.228,0,1e+09,1e-26,-1.60218e-19,e-,17
-0.152131,-0.285383,0.129692,-491.377,-683.437,223.415,0,1e+09,1e-26,-1.60218e-19,e-,31
-0.0460447,-0.225484,0.083992,-478.83,-752.832,222.715,0,1e+09,1e-26,-1.60218e-19,e-,27
0.388816,0.267477,-0.472446,106.225,3.40777,-53.6002,0,1e+09,1e-26,-1.60218e-19,e-,49
-0.223274,0.0487349,0.325404,-587.65,-422.952,240.211,0,1e+09,1e-26,-1.60218e-19,e-,24
0.378064,0.00126278,-0.12308,34.5243,5.96788,69.3074,0,1e+09,1e-26,-1.60218e-19,e-,54
-0.368675,-0.356256,-0.212084,-736.996,-884.171,490.654,0,1e+09,1e-26,-1.60218e-19,e-,14
0.359281,-0.23768,0.0470977,37.6059,155.93,62.049,0,1e+09,1e-26,-1.60218e-19,e-,59
-0.21175,-0.361172,-0.20371,-918.167,-941.421,569.543,0,1e+09,1e-26,-1.60218e-19,e-,30
-0.361128,0.374921,0.28744,-315.745,-72.7871,-76.0006,0,1e+09,1e-26,-1.60218e-19,e-,4
0.47174,0.0489622,0.00762551,37.6941,13.918,-35.6925,0,1e+09,1e-26,-1.60218e-19,e-,55
-0.490057,0.132449,-0.151739,273.639,-159.479,22.2043,0,1e+09,1e-26,-1.60218e-19,e-,6
-0.300929,0.281074,0.344918,-669.866,-445.496,154.797,0,1e+09,1e-26,-1.60218e-19,e-,4
-0.00519109,0.0780265,0.439621,-609.064,-355.076,190.033,0,1e+09,1e-26,-1.60218e-19,e-,40
-0.482689,0.440001,0.441354,69.3965,122.02,48.2982,0,1e+09,1e-26,-1.60218e-19,e-,4
-0.0826689,0.41655,0.0761478,-67.3261,-471.297,-467.622,0,1e+09,1e-26,-1.60218e-19,e-,19
-0.261616,-0.0210353,-0.287769,-936.782,-870.993,442.929,0,1e+09,1e-26,-1.60218e-19,e-,25
-0.310899,-0.282808,-0.0612715,-594.081,-903.598,451.884,0,1e+09,1e-26,-1.60218e-19,e-,14
-0.245482,0.0762564,-0.352768,-868.43,-393.715,163.475,0,1e+09,1e-26,-1.60218e-19,e-,21
0.027138,-0.406762,-0.0908827,-402.458,-702.303,357.593,0,1e+09,1e-26,-1.60218e-19,e-,46
0.0355961,-0.30705,-0.110947,-522.783,-856.73,338.375,0,1e+09,1e-26,-1.60218e-19,e-,46
-0.0247702,-0.460216,0.470338,-131.645,91.6598,56.6562,0,1e+09,1e-26,-1.60218e-19,e-,32
0.259837,0.0922341,0.129374,-6.65527,63.711,15.3258,0,1e+09,1e-26,-1.60218e-19,e-,55
0.439122,-0.320515,-0.028615,15.2988,86.1455,-29.1624,0,1e+09,1e-26,-1.60218e-19,e-,62
-0.415587,0.0184353,0.280692,-324.327,-324.683,161.592,0,1e+09,1e-26,-1.60218e-19,e-,8
-0.459801,0.355219,0.0606976,-61.7202,-48.2452,-128.031,0,1e+09,1e-26,-1.60218e-19,e-,3
