g_x,g_y,g_z
27.5138,-26.6001,5.99662
40.6736,-39.7628,0.844474
43.2539,-35.7546,-21.0314
30.7721,-21.7555,-21.9247
36.4274,-28.4214,13.5878
54.2276,-45.7604,11.0461
58.8211,-38.0586,-29.4193
41.6102,-20.7838,-30.6457
29.7736,-2.38795,16.6099
41.3182,2.5131,16.4683
47.2972,7.93514,-22.3187
35.32,4.3735,-26.9509
19.5952,6.42177,9.91262
28.0327,12.5799,7.06632
30.9809,15.7351,-14.0778
23.0353,10.6886,-17.5213
27.9734,-36.4274,11.362
41.1718,-57.6727,7.94761
45.9594,-50.0418,-32.4504
33.0632,-28.6904,-32.8163
35.3402,-40.8903,26.773
59.2259,-91.2296,45.1805
69.7665,-68.9333,-55.764
43.8097,-27.9044,-46.9355
22.4717,7.37435,32.2374
21.5406,31.7021,56.451
41.3681,41.2524,-34.8286
31.9805,18.1211,-39.783
15.5031,15.8286,17.4542
20.0109,29.6103,17.7835
25.8197,35.0818,-20.6349
20.9274,22.4653,-25.8028
5.84417,-25.804,9.75076
0.449252,-37.8058,4.86458
4.4003,-30.5285,-33.3743
10.4834,-18.2109,-33.5905
-5.4286,-20.8625,23.5106
-42.3558,-38.5234,35.0006
-32.8237,-19.4755,-54.6258
2.06267,-8.38365,-48.086
-14.3232,23.8307,28.3649
-57.6636,65.7628,45.0162
-53.6123,78.4781,-39.4059
-7.49824,34.7376,-41.7068
-5.09024,25.0029,15.5808
-16.5975,45.6956,14.1571
-13.4514,51.4517,-22.6377
-0.644404,31.692,-26.9396
-0.877776,-13.4273,4.09716
-4.44007,-18.8192,-2.06979
-2.20976,-14.9314,-23.0515
2.04588,-8.66181,-23.2231
-8.39104,-7.65229,10.4625
-20.8043,-10.913,5.82936
-16.6783,-3.62168,-32.2985
-3.82045,-0.195681,-32.6432
-13.5083,16.9445,13.2797
-29.4874,33.6677,10.8302
-26.0606,39.3562,-25.9071
-9.11327,23.7505,-29.2077
-7.77753,18.6045,7.85408
-15.1126,31.6281,3.8658
-13.103,34.854,-16.5176
-4.94465,22.8918,-19.0317
